actual,proposed
2.6914736112e-07,0.0
2.6914736112e-07,0.0
2.69359213376e-07,0.0
2.62871321856e-07,0.0
2.62871321856e-07,0.0
2.5964910224e-07,0.0
2.5964910224e-07,0.0
2.69030057824e-07,0.0
2.6945698102400003e-07,0.0
2.6945698102400003e-07,0.0
2.65819729472e-07,0.0
2.6318889907199996e-07,0.0
2.6318889907199996e-07,0.0
2.62943384704e-07,0.0
2.63166234144e-07,0.0
2.6313892e-07,0.0
2.6313892e-07,0.0
2.62890633984e-07,0.0
2.62864258624e-07,0.0
2.62864258624e-07,0.0
2.63083084704e-07,0.0
2.61038681376e-07,0.0
2.61038681376e-07,0.0
2.5984396697600003e-07,0.0
2.69221301536e-07,0.0
2.65797288064e-07,0.0
2.65797288064e-07,0.0
2.62948838592e-07,0.0
2.59725903712e-07,0.0
2.59725903712e-07,0.0
2.691057864e-07,0.0
2.6931589519999995e-07,0.0
2.65896620352e-07,0.0
2.65896620352e-07,0.0
2.63045578048e-07,0.0
2.63020364992e-07,0.0
2.63020364992e-07,0.0
2.63001946944e-07,0.0
2.6097502288e-07,0.0
2.69163722784e-07,0.0
2.69163722784e-07,0.0
2.6937378688e-07,0.0
2.62887102368e-07,0.0
2.62887102368e-07,0.0
2.6085481382399995e-07,0.0
2.69041904384e-07,0.0
2.69041904384e-07,0.0
2.6925558950399996e-07,0.0
2.69472001568e-07,0.0
2.62983663008e-07,0.0
2.62983663008e-07,0.0
2.609573648e-07,0.0
2.69141504896e-07,0.0
2.69141504896e-07,0.0
2.6935246307199997e-07,0.0
2.6956891984e-07,0.0
2.69541829216e-07,0.0
2.69541829216e-07,0.0
